Dataset,Soil_Type,Image_Path,Detected_Tone,pH Range,Temperature (°C),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Crop_Recommendations,Fertilizer_Recommendations,Weather_Based_Crop_Recommendation,Season_Based_Crop_Recommendation,Current_Season,Current_Temperature(°C),Current_Humidity(%),Weather_Description,Nitrogen (mg/kg)_min,Nitrogen (mg/kg)_max,Phosphorus (mg/kg)_min,Phosphorus (mg/kg)_max,Potassium (mg/kg)_min,Potassium (mg/kg)_max,pH Range_min,pH Range_max
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0072.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0073.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0074.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0075.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0076.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0077.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0078.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0079.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0080.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0081.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0082.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0086.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0087.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0088.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0089.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0090.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0091.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0092.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0093.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\IMG-20220531-WA0094.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\oil-a-real-close-up-of-a-part-of-the-earth-s-crust-ordinary-plain-1922365577.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Photograph-showing-the-presence-of-alluvial-soil-along-stream-course-dry-near-Patlodha_Q640.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-04-38.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-04-46.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-32.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-40.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-44.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-48.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-52.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-05-56.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-00.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-04.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-07.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-11.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-15.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-18.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-23.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-27.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-30.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-33.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-37.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-41.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-45.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-48.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-52.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-06-57.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-00.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-04.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-08.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-11.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-15.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-20.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\photo_2022-06-01_07-07-37.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
